id,max_,min_,mean_,median_,std_,wealth
1242.0,62.0,9.0,32.02,31.5,16.521489037008738,0.4548100000000001
1243.0,57.0,7.0,23.99,18.5,14.3153728557799,0.9839600000000001
1244.0,57.0,7.0,23.99,18.5,14.3153728557799,0.9936
1245.0,61.0,9.0,28.99,27.0,15.278412875688366,0.9224450000000001
1246.0,57.0,7.0,23.99,18.5,14.3153728557799,0.6626099999999999
1247.0,57.0,7.0,23.99,18.5,14.3153728557799,0.6623399999999999
1248.0,45.0,7.0,16.81,12.0,10.82746045940598,0.49446
1249.0,11.0,5.0,7.05,6.0,1.5058220346375595,0.98555
1250.0,8.0,0.0,4.93,6.0,2.6617851152938696,0.91894
1251.0,9.0,0.0,5.47,6.0,2.2823452850083834,0.92863
1252.0,8.0,0.0,4.93,6.0,2.6617851152938696,0.813525
1253.0,11.0,0.0,6.77,6.0,2.00925359275528,1.02979
1254.0,11.0,0.0,6.77,6.0,2.00925359275528,0.8891600000000001
1255.0,9.0,0.0,6.3,6.0,1.8520259177452136,1.01321
1256.0,9.0,0.0,5.41,6.0,2.746251991351121,1.02979
1257.0,9.0,0.0,5.91,6.0,2.3626044950435525,0.80051
1258.0,9.0,0.0,5.91,6.0,2.3626044950435525,0.8364849999999999
1259.0,11.0,0.0,6.77,6.0,2.00925359275528,0.96526
1260.0,56.0,7.0,18.45,12.0,12.892148773575334,0.9179
1261.0,56.0,6.0,16.82,11.5,12.22405824593453,1.01937
1262.0,58.0,6.0,17.69,12.0,13.393800804849981,0.98144
1263.0,59.0,6.0,18.82,12.0,13.975249550544707,1.060995
1264.0,59.0,6.0,18.82,12.0,13.975249550544707,0.32588
1265.0,52.0,5.0,13.75,10.0,10.109772499913142,0.967745
1266.0,56.0,7.0,18.45,12.0,12.892148773575334,0.81298
1267.0,52.0,6.0,16.01,11.0,10.491420304229546,0.52215
1268.0,59.0,6.0,18.82,12.0,13.975249550544707,0.85921
1269.0,0.0,0.0,0.0,0.0,0.0,0.72478
1270.0,5.0,0.0,0.05,0.0,0.4974937185533102,0.461955
1271.0,5.0,0.0,0.05,0.0,0.4974937185533102,0.548285
1272.0,0.0,0.0,0.0,0.0,0.0,0.5085500000000001
1273.0,0.0,0.0,0.0,0.0,0.0,0.821425
1274.0,0.0,0.0,0.0,0.0,0.0,-0.5804199999999999
1275.0,0.0,0.0,0.0,0.0,0.0,0.51095
1276.0,0.0,0.0,0.0,0.0,0.0,0.61922
1277.0,0.0,0.0,0.0,0.0,0.0,0.60914
1278.0,16.0,0.0,0.45,0.0,2.2951034835057,-0.44577
1279.0,18.0,0.0,0.84,0.0,3.2147161616540894,0.92614
1280.0,21.0,0.0,1.86,0.0,4.882663207717692,0.35022
1281.0,11.0,0.0,3.6,5.0,3.6027767069303644,0.8589
1282.0,11.0,0.0,3.78,5.0,3.6512463625452614,0.9413100000000001
1283.0,0.0,0.0,0.0,0.0,0.0,1.05949
1284.0,5.0,0.0,0.15,0.0,0.8529361054615988,0.9077799999999999
